,loss,mse,mae,mape,rmse
430,0.011547856964170933,0.00014577426190953702,0.005299889016896486,1535117.375,0.012073701247572899
431,0.011514941230416298,0.00014866111450828612,0.005341175012290478,1531563.375,0.01219266653060913
432,0.011480113491415977,0.0001470411370974034,0.005342635326087475,1554606.5,0.01212605182081461
433,0.011446557939052582,0.00014621097943745553,0.005223693326115608,1488216.0,0.012091773562133312
434,0.011412829160690308,0.00014594556705560535,0.005270821508020163,1499321.75,0.012080793268978596
435,0.011386768892407417,0.00016099751519504935,0.00581007357686758,1686374.625,0.012688479386270046
436,0.011344748549163342,0.0001389823155477643,0.005032348446547985,1479794.25,0.011789076030254364
437,0.011312772519886494,0.00013874616706743836,0.005005236715078354,1482175.25,0.011779055930674076
438,0.011285455897450447,0.0001503021048847586,0.005551822017878294,1558739.625,0.012259775772690773
439,0.011249181814491749,0.00014216807903721929,0.005138657987117767,1495290.5,0.011923425830900669
440,0.011214547790586948,0.00013773712271358818,0.005052735563367605,1492723.375,0.011736146174371243
441,0.011192400939762592,0.000157041460624896,0.005685357842594385,1648369.375,0.01253161858767271
442,0.011155226267874241,0.00014280731556937099,0.005165204871445894,1476538.875,0.011950201354920864
443,0.011122198775410652,0.00013897716416977346,0.005052274093031883,1478128.5,0.01178885716944933
444,0.011090755462646484,0.0001403444621246308,0.005050610285252333,1498146.0,0.011846707202494144
445,0.011061887256801128,0.00014767736138310283,0.005464156623929739,1550146.125,0.01215225737541914
446,0.01103049423545599,0.00014770266716368496,0.0054432302713394165,1520508.625,0.01215329859405756
447,0.010994329117238522,0.0001368452940369025,0.005011871922761202,1462631.125,0.01169808954000473
448,0.01096117403358221,0.00013344625767786056,0.00481840455904603,1445652.75,0.011551894247531891
449,0.010930540040135384,0.00013815001875627786,0.005052224732935429,1471424.875,0.011753723956644535
450,0.010902666486799717,0.00014809037384111434,0.00549959996715188,1550604.375,0.012169239111244678
451,0.010863720439374447,0.00013395915448199958,0.004870945122092962,1464732.625,0.011574072763323784
452,0.010838163085281849,0.0001488903653807938,0.005538754165172577,1564592.5,0.012202063575387001
